ababa	a- ba- ba
ababigizemo	a- ba- bi- gize -mo
ababigura	a- ba- bi- gura
ababiguraga	a- ba- bi- gura -aga
ababigurisha	a- ba- bi- gurisha
ababigwamo	a- ba- bi- gwa -mo
ababihabwa	a- ba- bi- habwa
ababihagarariye	a- ba- bi- hagarariye
ababihakana	a- ba- bi- hakana
ababihaniwe	a- ba- bi- hana -iye -w
ababihata	a- ba- bi- hata
ababihawe	a- ba- bi- hawe
ababihekana	a- ba- bi- heka -an
ababihekeraho	a- ba- bi- heka -ir -ho
ababihemberwa	a- ba- bi- hemba -ir -w
ababihimbye	a- ba- bi- himba -ye
ababihinga	a- ba- bi- hinga
ababihinze	a- ba- bi- hinze
ababihishamo	a- ba- bi- hisha -mo
ababihomberamo	a- ba- bi- homba -ir -mo
ababihugukiwe	a- ba- bi- huguka -iye -w
ababihugukiwemo	a- ba- bi- huguka -iye -w -mo
ababihuguriwe	a- ba- bi- hugura -iye -w
ababihuguwemo	a- ba- bi- huguwe -mo
ababihumeka	a- ba- bi- humeka
ababijyamo	a- ba- bi- jya -mo
ababijyana	a- ba- bi- jyana
ababikase	a- ba- bi- kase
ababikeka	a- ba- bi- keka
ababikekaga	a- ba- bi- keka -aga
ababikekwaho	a- ba- bi- keka -w -ho
ababikenera	a- ba- bi- kenera
ababikeneraho	a- ba- bi- kenera -ho
ababikeneye	a- ba- bi- keneye
ababikira	a- ba- bi- kira
ababikiza	a- ba- bi- kiza
ababikomatanya	a- ba- bi- komatanya
ababikora	a- ba- bi- kora
ababikoraga	a- ba- bi- kora -aga
ababikoramo	a- ba- bi- kora -mo
ababikorana	a- ba- bi- korana
ababikorera	a- ba- bi- korera
ababikoreramo	a- ba- bi- korera -mo
ababikorerwa	a- ba- bi- korerwa
ababikoresha	a- ba- bi- koresha
ababikoresheje	a- ba- bi- koresheje
ababikorewe	a- ba- bi- korewe
ababikoze	a- ba- bi- koze
ababikunda	a- ba- bi- kunda
ababikura	a- ba- bi- kura
ababikuza	a- ba- bi- kuza
ababikwiye	a- ba- bi- kwa -iye
ababimazemo	a- ba- bi- maze -mo
ababimenyereye	a- ba- bi- menyereye
ababimenyeshejwe	a- ba- bi- menya -ish -ije -w
ababinaniwe	a- ba- bi- naniwe
ababinywa	a- ba- bi- nywa
ababinywaga	a- ba- bi- nywa -aga
ababipakiraga	a- ba- bi- pakira -aga
ababirangijemo	a- ba- bi- rangije -mo
ababireba	a- ba- bi- reba
ababirebaga	a- ba- bi- reba -aga
ababiretse	a- ba- bi- retse
ababiri	a- ba- bi- ri
ababirimo	a- ba- bi- ri -mo
ababiriye	a- ba- bi- riye
ababirwanya	a- ba- bi- rwanya
ababirwara	a- ba- bi- rwara
ababirwaye	a- ba- bi- rwaye
ababirya	a- ba- bi- rya
ababisaba	a- ba- bi- saba
ababisabiwe	a- ba- bi- saba -iye -w
ababisabwa	a- ba- bi- saba -w
ababisabye	a- ba- bi- sabye
ababisamira	a- ba- bi- sama -ir
ababisangiye	a- ba- bi- sangiye
ababisesagura	a- ba- bi- sesagura
ababishaka	a- ba- bi- shaka
ababishakaga	a- ba- bi- shaka -aga
ababishatse	a- ba- bi- shatse
ababishe	a- ba- ba- ishe
ababishingira	a- ba- bi- shinga -ir
ababishingwa	a- ba- bi- shinga -w
ababishinze	a- ba- bi- shinze
ababishobora	a- ba- bi- shobora
ababishoboye	a- ba- bi- shoboye
ababishyira	a- ba- bi- shyira
ababishyize	a- ba- bi- shyize
ababisoma	a- ba- bi- soma
ababisuzuguye	a- ba- bi- suzuguye
ababita	a- ba- ba- ita
ababitaho	a- ba- ba- ita -ho
ababitanga	a- ba- bi- tanga
ababitangaho	a- ba- bi- tanga -ho
ababitangaje	a- ba- bi- tangaje
ababitangije	a- ba- bi- tangije
ababitangira	a- ba- bi- tangira
ababitangiye	a- ba- bi- tangiye
ababitanze	a- ba- bi- tanze
ababitayeho	a- ba- ba- itaye -ho
ababiteganya	a- ba- bi- teganya
ababitegereza	a- ba- bi- tegereza
ababitegura	a- ba- bi- tegura
ababiteguye	a- ba- bi- teguye
ababiteka	a- ba- bi- teka
ababitekereza	a- ba- bi- tekereza
ababiterwa	a- ba- bi- tera -w
ababiteye	a- ba- bi- teye
ababitinya	a- ba- bi- tinya
ababitunze	a- ba- bi- tunze
ababituriye	a- ba- bi- tura -iye
ababituye	a- ba- bi- tuye
ababitwara	a- ba- bi- twara
ababivuga	a- ba- bi- vuga
ababivugaho	a- ba- bi- vuga -ho
ababivuguruza	a- ba- bi- vuguruza
ababivukana	a- ba- bi- vukana
ababivukiyemo	a- ba- bi- vuka -iye -mo
ababivuyemo	a- ba- bi- vuye -mo
ababizamo	a- ba- biza -mo
ababizana	a- ba- bi- zana
ababizanamo	a- ba- bi- zana -mo
ababizanye	a- ba- bi- zanye
ababizi	a- ba- bi- zi
ababoha	a- ba- boha
ababohereje	a- ba- ba- ohereje
ababohoye	a- ba- bohoye
ababona	a- ba- bona
ababonaga	a- ba- bona -aga
ababonamo	a- ba- bona -mo
ababonana	a- ba- bona -an
ababonanye	a- ba- bona -an -ye
ababone	a- ba- bona -e
ababoneka	a- ba- boneka
ababonekaho	a- ba- boneka -ho
ababoneraho	a- ba- bonera -ho
ababonere	a- ba- bonera -e
ababonetse	a- ba- bonetse
ababonye	a- ba- bonye
ababore	a- ba- bora -e
ababubonye	a- ba- bu- bonye
ababubuze	a- ba- bu- buze
ababufashe	a- ba- bu- fashe
ababufite	a- ba- bu- fite
ababugaragaza	a- ba- bu- garagaza
ababugarama	a- ba- bu- garama
ababugenera	a- ba- bu- genera
ababugize	a- ba- bu- gize
ababugura	a- ba- bu- gura
ababuhabwa	a- ba- bu- habwa
ababuhashye	a- ba- bu- hashye
ababuhawe	a- ba- bu- hawe
ababuhezemo	a- ba- bu- heze -mo
ababuhinga	a- ba- bu- hinga
ababuhisemo	a- ba- bu- hise -mo
ababujije	a- ba- bujije
ababujyamo	a- ba- bu- jya -mo
ababukekwaho	a- ba- bu- keka -w -ho
ababukeneye	a- ba- bu- keneye
ababukodesheje	a- ba- bu- kodesheje
ababukora	a- ba- bu- kora
ababukoraga	a- ba- bu- kora -aga
ababukoramo	a- ba- bu- kora -mo
ababukorera	a- ba- bu- korera
ababukoresha	a- ba- bu- koresha
ababukorewe	a- ba- bu- korewe
ababukoze	a- ba- bu- koze
ababumba	a- ba- bumba
ababumbira	a- ba- bumbira
ababumva	a- ba- ba- umva
ababunganira	a- ba- bu- ngana -ir
ababungirije	a- ba- bunga -ir -ije
ababupima	a- ba- bu- pima
ababura	a- ba- bura
ababuraga	a- ba- bura -aga
ababurana	a- ba- burana
ababuranira	a- ba- burana -ir
ababuraniraga	a- ba- burana -ir -aga
ababuranisha	a- ba- burana -ish
ababuranishaga	a- ba- burana -ish -aga
ababuranishije	a- ba- burana -ish -ije
ababuranishijwe	a- ba- burana -ish -ije -w
ababuranishwaga	a- ba- burana -ish -w -aga
ababuranye	a- ba- buranye
ababuriho	a- ba- bu- ri -ho
ababurira	a- ba- burira
ababurwanira	a- ba- bu- rwana -ir
ababusa	a- ba- bu- sa
ababusabaga	a- ba- bu- saba -aga
ababutanga	a- ba- bu- tanga
ababutoye	a- ba- bu- toye
ababuturiye	a- ba- bu- tura -iye
ababutuyeho	a- ba- bu- tuye -ho
ababutwitiraho	a- ba- bu- twita -ir -ho
ababuvukanye	a- ba- bu- vukanye
ababuvuyemo	a- ba- bu- vuye -mo
ababuza	a- ba- buza
ababuze	a- ba- buze
ababuzwa	a- ba- buzwa
ababuzwaga	a- ba- buzwa -aga
ababwira	a- ba- bwira
ababwirako	a- ba- bwira -ko
ababwiramo	a- ba- bwira -mo
ababwire	a- ba- bwira -e
ababwirwa	a- ba- bwira -w
ababwirwaga	a- ba- bwira -w -aga
ababwiwe	a- ba- ba -w -iye -w
ababwiye	a- ba- bwiye
ababyahuramo	a- ba- bi- ahura -mo
ababyandikiwe	a- ba- bi- andika -iye -w
ababyanditseho	a- ba- bi- anditse -ho
ababyanga	a- ba- bi- anga
ababyangiza	a- ba- bi- angiza
ababyanze	a- ba- bi- anze
ababyaraga	a- ba- byara -aga
ababyarana	a- ba- byara -an
ababyarira	a- ba- byara -ir
ababyariraga	a- ba- byara -ir -aga
ababyariye	a- ba- byara -iye
ababyatswe	a- ba- bi- atswa -e
ababyaye	a- ba- byaye
ababye	a- ba- ba -ye
ababyemera	a- ba- bi- emera
ababyemeye	a- ba- bi- emeye
ababyeyo	a- ba- ba -ye -yo
ababyibazaga	a- ba- bi- i- baza -aga
ababyiboneye	a- ba- bi- i- boneye
ababyibuha	a- ba- byibuha
ababyibushye	a- ba- byibushye
ababyibwira	a- ba- bi- ibwira
ababyifuza	a- ba- bi- ifuza
ababyifuzaga	a- ba- bi- ifuza -aga
ababyiga	a- ba- byiga
ababyigana	a- ba- bi- igana
ababyigishije	a- ba- bi- igishije
ababyigiye	a- ba- byiga -iye
ababyihannye	a- ba- bi- ihannye
ababyihisha	a- ba- bi- i- hisha
ababyihishe	a- ba- bi- i- hishe
ababyina	a- ba- byina
ababyinaga	a- ba- byina -aga
ababyinjiramo	a- ba- bi- injira -mo
ababyirengagiza	a- ba- bi- irengagiza
ababyirirwamo	a- ba- bi- irirwa -mo
ababyiruka	a- ba- bi- iruka
ababyirutse	a- ba- bi- irutse
ababyishe	a- ba- bi- ishe
ababyishimiye	a- ba- bi- ishima -iye
ababyisiga	a- ba- bi- i- siga
ababyita	a- ba- bi- ita
ababyitabira	a- ba- bi- itaba -ir
ababyitabiriye	a- ba- bi- itaba -ir -iye
ababyitaho	a- ba- bi- ita -ho
ababyitegura	a- ba- bi- itegura
ababyitirirwa	a- ba- bi- i- tira -ir -w
ababyitwaramo	a- ba- bi- i- twara -mo
ababyitwayemo	a- ba- bi- i- twaye -mo
ababyize	a- ba- byize
ababyomora	a- ba- bi- omora
ababyononnye	a- ba- bi- ononnye
ababyubahirije	a- ba- bi- ubaha -ir -ije
ababyubatsemo	a- ba- bi- ubatse -mo
ababyukaga	a- ba- byuka -aga
ababyumva	a- ba- bi- umva
ababyumvise	a- ba- bi- umvise
ababyungukiyemo	a- ba- bi- unguka -iye -mo
ababyutse	a- ba- byutse
abaca	a- ba- ca
abacagamo	a- ba- ca -aga -mo
abacana	a- ba- cana
abaceceka	a- ba- ceceka
abacengera	a- ba- cengera
abacengeye	a- ba- cengeye
abacika	a- ba- cika
abacikanwe	a- ba- cika -an -w -e
abacikije	a- ba- cika -ije
abacikirije	a- ba- cika -ir -ije
abacikishije	a- ba- cika -ish -ije
abacira	a- ba- cira
abacirwa	a- ba- cirwa
abacishaho	a- ba- ca -ish -ho
abacitse	a- ba- citse
abaciwe	a- ba- ca -iye -w
abaciye	a- ba- ciye
abacukura	a- ba- cukura
abacukuramo	a- ba- cukura -mo
abacumbika	a- ba- cumbika
abacumbikira	a- ba- cumbikira
abacumbikirwa	a- ba- cumbikira -w
abacumbikiwe	a- ba- cumbika -iye -w
abacumbitse	a- ba- cumbitse
abacungure	a- ba- cungura -e
abacuranga	a- ba- curanga
abacurangira	a- ba- curanga -ir
abacuruje	a- ba- curuje
abacuruza	a- ba- curuza
abacuruzaga	a- ba- curuza -aga
abacuruzamo	a- ba- curuza -mo
abacuze	a- ba- cuze
abacwaga	a- ba- ca -w -aga
abacyanditse	a- ba- ki- anditse
abacyica	a- ba- ki- ica
abacyishakisha	a- ba- ki- i- shakisha
abacyitabira	a- ba- ki- itaba -ir
abacyitabiriye	a- ba- ki- itaba -ir -iye
abacyubatse	a- ba- ki- ubatse
abacyugama	a- ba- ki- ugama
abacyumva	a- ba- ki- umva
abacyura	a- ba- cyura
abacyurira	a- ba- cyurira
abacyuye	a- ba- cyuye
abadaha	a- ba- daha
abadindiza	a- ba- dindiza
abaduca	a- ba- tu- ca
abadufasha	a- ba- tu- fasha
abadufashije	a- ba- tu- fashije
abaduhagararira	a- ba- tu- hagararira
abaduhagarariye	a- ba- tu- hagarariye
abaduhagaritse	a- ba- tu- hagaritse
abaduhamagara	a- ba- tu- hamagara
abaduhemukiye	a- ba- tu- hemuka -iye
abaduhimbira	a- ba- tu- himba -ir
abaduhinze	a- ba- tu- hinze
abadukeneye	a- ba- tu- keneye
abadukodesha	a- ba- tu- kodesha
abadukomokaho	a- ba- tu- komoka -ho
abadukoresha	a- ba- tu- koresha
abadukuriye	a- ba- tu- kura -iye
abadusanga	a- ba- tu- sanga
abadushakaho	a- ba- tu- shaka -ho
abadushukisha	a- ba- tu- shuka -ish
abadushyigikiye	a- ba- tu- shyigikiye
abadusubiza	a- ba- tu- subiza
abadusumba	a- ba- tu- sumba
abadusura	a- ba- tu- sura
abaduteye	a- ba- tu- teye
abadutumiye	a- ba- tu- tumiye
abadutumye	a- ba- tu- tumye
abadutuye	a- ba- tu- tuye
abadutwaye	a- ba- tu- twaye
abaduye	a- ba- aduye
abafana	a- ba- fana
abafanaga	a- ba- fana -aga
abafashamo	a- ba- fasha -mo
abafashe	a- ba- fashe
abafashije	a- ba- fashije
abafashijwe	a- ba- fashijwe
abafashishwa	a- ba- fasha -ish -w
abafashwa	a- ba- fashwa
abafashwaga	a- ba- fashwa -aga
abafashwe	a- ba- fashwa -e
abafata	a- ba- fata
abafataga	a- ba- fata -aga
abafatanije	a- ba- fatanije
abafatanwa	a- ba- fata -an -w
abafatanya	a- ba- fatanya
abafatanyije	a- ba- fatanya -ije
abafatanywe	a- ba- fatanya -w -e
abafate	a- ba- fata -e
abafatira	a- ba- fata -ir
abafatiraho	a- ba- fata -ir -ho
abafatirwa	a- ba- fata -ir -w
abafatirwayo	a- ba- fata -ir -w -yo
abafatishije	a- ba- fata -ish -ije
abafatiwe	a- ba- fata -iye -w
abafatwa	a- ba- fata -w
abafatwaga	a- ba- fata -w -aga
abafite	a- ba- fite
abafiteho	a- ba- fite -ho
abafitemo	a- ba- fite -mo
abafotora	a- ba- fotora
abafotoraga	a- ba- fotora -aga
abafotowe	a- ba- fotowe
abafunga	a- ba- funga
abafunge	a- ba- funga -e
abafungirwa	a- ba- funga -ir -w
abafungiwe	a- ba- funga -iye -w
abafungiye	a- ba- funga -iye
abafunguwe	a- ba- funguwe
abafungwa	a- ba- fungwa
abafunze	a- ba- funze
abafunzwe	a- ba- funzwe
abafurere	a- ba- fura -ir -e
abaga	a- baga
abagaba	a- ba- gaba
abagabanya	a- ba- gabanya
abagabiwe	a- ba- gaba -iye -w
abagaburira	a- ba- gaburira
abagaera	a- ba- ka- era
abagafite	a- ba- ka- fite
abagagome	a- ba- ka- goma -e
abagahakana	a- ba- ka- hakana
abagahawe	a- ba- ka- hawe
abagahinze	a- ba- ka- hinze
abagahitamo	a- ba- ka- hita -mo
abagaho	a- baga -ho
abagahuza	a- ba- ka- huza
abagakeneye	a- ba- ka- keneye
abagakeneyeho	a- ba- ka- keneye -ho
abagakira	a- ba- ka- kira
abagakiza	a- ba- ka- kiza
abagakora	a- ba- ka- kora
abagakoresha	a- ba- ka- koresha
abagakunze	a- ba- ka- kunze
abagambiriye	a- ba- gamba -ir -iye
abagamije	a- ba- gamije
abagana	a- bagana
abaganaga	a- bagana -aga
abaganira	a- ba- ganira
abaganirira	a- ba- ganira -ir
abaganiriwe	a- ba- ganira -iye -w
abaganiriye	a- ba- ganiriye
abaganje	a- ba- ganje
abagannye	a- ba- gannye
abagara	a- bagara
abagaragaje	a- ba- garagaje
abagaragara	a- ba- garagara
abagaragaraho	a- ba- garagara -ho
abagaragarije	a- ba- garagara -ije
abagaragaye	a- ba- garagaye
abagaragayeho	a- ba- garagaye -ho
abagaragayemo	a- ba- garagaye -mo
abagaragaza	a- ba- garagaza
abagaragazwa	a- ba- garagaza -w
abagarariye	a- ba- ka- rara -iye
abagaraye	a- ba- ka- raye
abagarukira	a- ba- garuka -ir
abagarura	a- ba- ka- rura
abagarurira	a- ba- ka- rura -ir
abagarutse	a- ba- garutse
abagashoboye	a- ba- ka- shoboye
abagatabaye	a- ba- ka- tabaye
abagatanga	a- ba- ka- tanga
abagaturika	a- ba- ka- turika
abagatuye	a- ba- ka- tuye
abagaye	a- bagaye
abagayira	a- ba- gaya -ir
abagejeje	a- ba- gejeje
abagejejeho	a- ba- gejeje -ho
abagejejeyo	a- ba- gejeje -yo
abagemura	a- ba- gemura
abagemurira	a- ba- gemurira
abagemuriraga	a- ba- gemurira -aga
abagemuriye	a- ba- gemuriye
abagemuye	a- ba- gemuye
abagena	a- ba- gena
abagenda	a- ba- genda
abagendaga	a- ba- genda -aga
abagendaho	a- ba- genda -ho
abagendanaga	a- ba- gendana -aga
abagende	a- ba- genda -e
abagendera	a- ba- genda -ir
abagendesha	a- ba- genda -ish
abagenera	a- ba- genera
abagenerwa	a- ba- genera -w
abagenerwaga	a- ba- genera -w -aga
abagenga	a- ba- genga
abagengwa	a- ba- genga -w
abagenzaga	a- ba- genza -aga
abagenzura	a- ba- genzura
abagenzuraga	a- ba- genzura -aga
abagenzurwa	a- ba- genzura -w
abagenzuye	a- ba- genzuye
abagera	a- ba- gera
abageraga	a- ba- gera -aga
abagerageje	a- ba- gerageje
abagerageza	a- ba- gerageza
abageragezaga	a- ba- gerageza -aga
abageraho	a- ba- gera -ho
abagere	a- ba- gera -e
abagereho	a- ba- gera -e -ho
abagerekaho	a- ba- gereka -ho
abagerekwaho	a- ba- gereka -w -ho
abagereranije	a- ba- gereranije
abagereranya	a- ba- gereranya
abagerwaho	a- ba- gera -w -ho
abagesera	a- ba- gesa -ir
abageza	a- ba- geza
abagezaho	a- ba- geza -ho
abageze	a- ba- geze
abagezeho	a- ba- geze -ho
abagezwa	a- ba- geza -w
abagezwaho	a- ba- geza -w -ho
abagezweho	a- ba- geza -w -e -ho
abagica	a- ba- ki- ca
abagicukuraga	a- ba- ki- cukura -aga
abagicumbikiye	a- ba- ki- cumbikiye
abagicuruza	a- ba- ki- curuza
abagifata	a- ba- ki- fata
abagifite	a- ba- ki- fite
abagifiteho	a- ba- ki- fite -ho
abagiha	a- ba- ki- ha
abagihabwa	a- ba- ki- habwa
abagihagarariye	a- ba- ki- hagarariye
abagihakana	a- ba- ki- hakana
abagihejwemo	a- ba- ki- ha -ije -w -mo
abagihembera	a- ba- ki- hemba -ir
abagihenda	a- ba- ki- henda
abagihinga	a- ba- ki- hinga
abagihingamo	a- ba- ki- hinga -mo
abagihishira	a- ba- ki- hisha -ir
abagihumeka	a- ba- ki- humeka
abagikenera	a- ba- ki- kenera
abagikeneye	a- ba- ki- keneye
abagikina	a- ba- ki- kina
abagikomeje	a- ba- ki- komeje
abagikopera	a- ba- ki- kopera
abagikora	a- ba- ki- kora
abagikoragamo	a- ba- ki- kora -aga -mo
abagikoramo	a- ba- ki- kora -mo
abagikorera	a- ba- ki- korera
abagikoresha	a- ba- ki- koresha
abagikoze	a- ba- ki- koze
